Date,Open,High,Low,Close,Volume,Adj Close
2008-3-31,17.059999,17.68,17,17.5,23676000,8.09206
2008-3-28,17.75,17.799999,17,17.049999,23743200,7.883978
2008-3-27,17.76,18.01,17.559999,17.620001,19225000,8.147549
2008-3-26,17.940001,17.969999,17.549999,17.66,18021800,8.166044
2008-3-25,17.92,18.059999,17.780001,17.99,26993600,8.318637
2008-3-24,17.549999,18.01,17.5,17.889999,44695600,8.272397
2008-3-20,17.639999,17.83,17.42,17.530001,46619200,8.105932
2008-3-19,18.34,18.5,17.49,17.5,42828400,8.09206
2008-3-18,17.42,18.25,17.4,18.24,45919600,8.434238
2008-3-17,16.969999,17.530001,16.950001,17.26,45387000,7.981083
2008-3-14,17.290001,17.84,17,17.389999,32352000,8.041195
2008-3-13,17.35,17.860001,17.049999,17.629999,21277200,8.152172
2008-3-12,17.74,18.110001,17.559999,17.610001,25828000,8.142924
2008-3-11,17.030001,17.75,16.959999,17.74,27657000,8.203037
2008-3-10,17.120001,17.280001,16.77,16.799999,24145400,7.768377
2008-3-7,17.5,17.68,17.040001,17.1,27801000,7.907099
2008-3-6,18,18.200001,17.51,17.6,31514000,8.1383
2008-3-5,18,18.440001,17.99,18.139999,20355800,8.387998
2008-3-4,17.799999,18,17.629999,17.9,24785200,8.277021
2008-3-3,18.02,18.17,17.809999,17.85,21872400,8.253901
2008-2-29,18.360001,18.5,17.93,17.98,27282600,8.314013
2008-2-28,18.9,18.950001,18.51,18.57,20939000,8.586831
2008-2-27,18.950001,19.33,18.74,19.040001,24853600,8.804161
2008-2-26,18.33,19.200001,18.25,19.059999,28534000,8.813409
2008-2-25,18.25,18.52,18.01,18.5,21662600,8.554463
2008-2-22,17.92,18.25,17.780001,18.25,23209400,8.438862
2008-2-21,18.26,18.43,17.75,17.83,30105000,8.244653
2008-2-20,18.07,18.290001,18,18.26,24022800,8.443486
2008-2-19,18.52,18.65,18.040001,18.1,19257000,8.369502
2008-2-15,18.120001,18.360001,18.07,18.290001,20662400,8.457359
2008-2-14,18.85,18.889999,18.09,18.18,33469800,8.406494
2008-2-13,18.889999,19.120001,18.58,18.85,21567200,8.716305
2008-2-12,18.59,19.25,18.52,18.709999,27547600,8.651568
2008-2-11,18.23,18.530001,17.950001,18.52,21100400,8.563711
2008-2-8,18.459999,18.77,18.16,18.26,21868400,8.443486
2008-2-7,18.01,18.77,18.01,18.530001,24914000,8.568336
2008-2-6,18.700001,18.9,18.02,18.15,29147200,8.392622
2008-2-5,18.9,19.120001,18.5,18.51,30507400,8.559087
2008-2-4,19.33,19.35,19.030001,19.190001,20983600,8.873522
2008-2-1,18.969999,19.32,18.639999,19.219999,31496400,8.887393
2008-1-31,18.17,19.18,18.08,18.91,87545200,8.744049
2008-1-30,20,20.190001,18.950001,19.219999,45354600,8.887393
2008-1-29,19.860001,20.370001,19.66,19.969999,21244200,9.234196
2008-1-28,19.450001,19.799999,19.16,19.66,27001400,9.090851
2008-1-25,20.629999,20.68,19.469999,19.66,35492000,9.090851
2008-1-24,20.1,20.48,19.92,20.450001,41792800,9.45615
2008-1-23,18.120001,20.190001,18.110001,19.969999,52041600,9.234196
2008-1-22,17.790001,18.870001,17.66,18.67,43731800,8.633072
2008-1-18,18.75,19.35,18.389999,18.66,39570200,8.628448
2008-1-17,19.27,19.48,19.01,19.049999,23452200,8.808785
2008-1-16,18.98,19.77,18.84,19.299999,33159800,8.924386
2008-1-15,19.26,19.4,18.82,18.84,29007200,8.71168
2008-1-14,19.9,19.959999,19.43,19.549999,23197400,9.039986
2008-1-11,19.969999,20.07,19.52,19.790001,36160800,9.150964
2008-1-10,19.440001,20.49,19.18,20.309999,45485000,9.391413
2008-1-9,20,20.17,19.02,19.459999,48409600,8.99837
2008-1-8,20.18,21.01,19.83,19.860001,126297600,9.183332
2008-1-7,18.299999,18.809999,18.110001,18.379999,50480800,8.498974
2008-1-4,18.469999,18.540001,18,18.110001,40105800,8.374126
2008-1-3,19.309999,19.4,18.48,18.700001,47940200,8.646944
2008-1-2,20.139999,20.16,19.280001,19.309999,45448600,8.92901
2007-12-31,19.99,20.559999,19.969999,20.469999,25456600,9.465398
2007-12-28,20.35,20.459999,20.129999,20.129999,19476400,9.30818
2007-12-27,20.559999,20.690001,20.290001,20.459999,16365400,9.460773
2007-12-26,21,21.01,20.66,20.82,10983800,9.627239
2007-12-24,21.120001,21.299999,21.01,21.219999,9659200,9.8122
2007-12-21,20.610001,21.18,20.5,21.059999,39319600,9.738216
2007-12-20,20.15,20.559999,20.049999,20.530001,22996200,9.493142
2007-12-19,20.32,20.559999,19.889999,20.030001,28317400,9.261941
2007-12-18,20.15,20.719999,20.15,20.6,26694800,9.525511
2007-12-17,20.99,21,20.139999,20.15,33422600,9.317429
2007-12-14,21.23,21.450001,21.049999,21.25,20953800,9.826073
2007-12-13,21.860001,22.110001,21.459999,21.5,22519000,9.941673
2007-12-12,22.18,22.299999,21.65,21.879999,24800800,10.117386
2007-12-11,22.110001,22.52,21.870001,21.9,39506400,10.126635
2007-12-10,22.620001,22.860001,22.59,22.73,18035200,10.510429
2007-12-7,22.719999,22.98,22.540001,22.620001,18346600,10.459566
2007-12-6,22.6,22.85,22.450001,22.85,19823400,10.565918
2007-12-5,22.6,22.700001,22.459999,22.65,16702600,10.473437
2007-12-4,22.549999,22.67,22.34,22.34,28232600,10.330092
2007-12-3,23.23,23.43,22.790001,22.809999,20982600,10.547422
2007-11-30,23.16,23.870001,23,23.389999,27218000,10.815616
2007-11-29,22.709999,23.08,22.530001,23.040001,19114200,10.653775
2007-11-28,22.48,23.110001,22.459999,22.959999,38441600,10.616782
2007-11-27,22.24,22.639999,22.24,22.610001,22885000,10.454942
2007-11-26,22.93,22.98,22.15,22.18,37266000,10.256108
2007-11-23,22.799999,23.09,22.610001,23.07,10370600,10.667647
2007-11-21,22.629999,23.120001,22.57,22.809999,32754600,10.547422
2007-11-20,22.790001,23.120001,22.450001,23.1,61032000,10.681519
2007-11-19,22.799999,23.01,22.41,22.870001,65878000,10.575167
2007-11-16,21.870001,23.5,21.77,23.17,131420600,10.713887
2007-11-15,23.83,24.4,23.66,24.1,40417000,11.143923
2007-11-14,24.049999,24.25,23.92,24.25,33250000,11.213283
2007-11-13,23.57,23.99,23.139999,23.99,31595000,11.093058
2007-11-12,22.620001,23.540001,22.620001,23.139999,43949800,10.700015
2007-11-9,23.049999,23.299999,22.57,22.57,37158600,10.436445
2007-11-8,23.889999,24.09,22.950001,23.4,52779600,10.82024
2007-11-7,24.65,24.83,24.1,24.110001,36773600,11.148547
2007-11-6,25,25.15,24.59,24.950001,16070400,11.536966
2007-11-5,25.280001,25.33,24.82,24.959999,27537000,11.541589
2007-11-2,26,26.1,25.309999,25.530001,28621600,11.80516
2007-11-1,26.4,26.68,25.799999,25.83,28337200,11.94388
2007-10-31,26.139999,26.75,26.1,26.68,22541200,12.336923
2007-10-30,26.030001,26.299999,25.98,26.15,11428000,12.091849
2007-10-29,26.18,26.309999,25.98,26.23,12670000,12.128841
2007-10-26,26.370001,26.43,25.940001,26.17,10769600,12.101097
